Continent,Country,State,Address,ZipCode,ProductName,ProductCategory,ProductSubcategory,OrderDate,DeliveryDate,Cost,UnitPrice,Quantity,FirstName,LastName,Email,Phone,StoreName
North America,USA,California,18196 Anthony Forge,30996,Jeans - Purpose,Clothing,Jeans,2023-02-13,2023-02-18,197.73,78.37,4,William,Johnson,lrobinson@pacheco-smith.com,001-654-235-1161x559,Figueroa and Sons
North America,Mexico,State1,495 Janet Cape,87174,Jeans - Everything,Clothing,Jeans,2023-01-17,2023-01-19,37.45,55.91,1,Jeremy,Roberts,michellejames@reid-diaz.com,(341)928-3276x483,"Stevens, Martinez and Nielsen"
North America,USA,New York,4139 Lewis Parks Suite 724,18802,Tablet - Reveal,Electronics,Tablet,2023-05-06,2023-05-16,641.73,118.02,7,John,Hoffman,zhurst@yahoo.com,287.101.2269,Perez Inc
Asia,India,Karnataka,018 Mack Junctions Apt. 462,59971,Table - Attack,Furniture,Table,2023-05-30,2023-06-05,287.27,115.5,3,Aaron,Bowen,williamrodriguez@hotmail.com,893-252-8809x5701,Carlson-Mcdonald
Asia,India,Maharashtra,71822 Arroyo Expressway,35242,Laptop - Woman,Electronics,Laptop,2023-05-21,2023-05-28,855.92,139.62,10,Allison,Obrien,jenniferross@santos.com,315.098.3930,Allen-Allen
Europe,UK,State1,83473 Jennifer Ports Suite 376,25458,Chair - Avoid,Furniture,Chair,2023-01-23,2023-02-02,1635.57,416.41,5,Clinton,Hopkins,ujenkins@gmail.com,+1-106-513-3387x26247,Jones Inc
Europe,UK,State1,80132 Tucker Forest,53066,Shirt - Enjoy,Clothing,Shirt,2023-01-30,2023-02-01,1392.78,388.8,4,Rachel,Martin,ybaker@mitchell-horton.net,+1-723-430-9805x00978,Morton-Chase
Asia,India,Maharashtra,19136 Shelly Port,32772,Table - Wide,Furniture,Table,2023-07-26,2023-08-02,380.59,191.39,3,Beth,Williams,ksandoval@stewart.com,462.475.1079,Brown PLC
Europe,UK,State1,51354 Samuel Plains Suite 980,88039,Jacket - Order,Clothing,Jacket,2023-02-08,2023-02-12,2145.29,367.27,9,Lisa,Evans,josephpreston@tran.com,487.401.6400,Medina PLC
Europe,France,State1,011 Amy Village Suite 982,56834,Jeans - Goal,Clothing,Jeans,2023-02-20,2023-02-22,1389.1,412.68,4,David,Parker,jason31@deleon-henson.biz,+1-232-260-2563x421,"Whitney, Martin and Ramos"
Europe,France,State1,4330 Raymond Harbors Apt. 458,52887,Tablet - Idea,Electronics,Tablet,2023-01-16,2023-01-23,952.0,331.16,4,Erin,Anthony,wilsontara@gmail.com,001-401-965-5698,Walker-Velasquez
North America,Canada,State1,6159 Alvarado Crossing,94840,Chair - Business,Furniture,Chair,2023-05-30,2023-06-04,2032.98,274.1,9,Rachel,Hunter,richard48@gmail.com,662.994.6804,"Lee, Williams and Graham"
Europe,UK,State2,7738 Leon Underpass Apt. 148,87513,Chair - Few,Furniture,Chair,2023-03-23,2023-03-27,1873.69,251.82,9,Cynthia,Rogers,jeffrey32@williams.org,001-176-936-7632x01632,Floyd-Lawson
