Continent,Country,State,Address,ZipCode,ProductName,ProductCategory,ProductSubcategory,OrderDate,DeliveryDate,Cost,UnitPrice,Quantity,FirstName,LastName,Email,Phone,StoreName
North America,USA,Texas,47264 Danielle Manors Apt. 212,07509,Chair - Two,Furniture,Chair,2024-01-31,2024-02-03,1185.52,481.61,3,James,King,jeremy59@hotmail.com,(807)852-5482x4218,Lane LLC
Asia,China,State1,06445 Pearson Junction Apt. 311,18843,Table - Run,Furniture,Table,2024-03-31,2024-04-10,285.78,73.73,5,Sheryl,Moore,kayla97@hotmail.com,+1-177-633-4272x038,"Nguyen, King and Robles"
Europe,Germany,Berlin,801 Rivers Views,05967,Couch - Nothing,Furniture,Couch,2024-05-27,2024-05-31,59.44,85.31,1,Jonathan,Espinoza,hughesvirginia@nguyen.net,(493)534-0018,"Jackson, Jones and Wells"
Asia,Japan,State2,5244 Rangel Lake,34796,Couch - Authority,Furniture,Couch,2024-06-02,2024-06-12,222.78,45.71,6,Jose,Brown,haley79@robinson.com,+1-539-128-7884x8699,Wells-Mitchell
North America,USA,California,5792 Garcia Villages,59406,Shirt - Particularly,Clothing,Shirt,2024-06-14,2024-06-24,488.2,213.81,3,Erin,King,patrickmichelle@fernandez.com,238-397-2833x912,"Rose, Frank and Dyer"
Asia,China,State1,88098 Gary Crossing,06370,Tablet - Budget,Electronics,Tablet,2024-07-13,2024-07-20,745.89,186.79,6,Lisa,Smith,pamelasmith@boyd.com,8987610814,Myers and Sons
North America,Mexico,State2,453 Brittany Throughway,06709,Jacket - Current,Clothing,Jacket,2024-05-24,2024-05-26,495.66,337.78,2,Kristi,Hill,leslieortiz@stewart.com,076.205.4596,Robles-Roberts
North America,Mexico,State1,6641 Alexander Rue Suite 541,93425,Tablet - Left,Electronics,Tablet,2024-01-29,2024-02-05,2837.5,458.81,7,Christopher,Pittman,aaron78@garcia-mendez.org,970-890-5836x683,Smith-Barker
Europe,France,State2,69708 Amber Point Apt. 787,81027,Tablet - Financial,Electronics,Tablet,2024-02-24,2024-03-02,2663.52,403.38,9,Charles,Johnson,michaelanthony@hotmail.com,609.320.1265x789,Ferguson-Bradley
Asia,China,State1,521 Ward Pass,41704,Couch - Operation,Furniture,Couch,2024-03-13,2024-03-16,163.22,92.02,2,Teresa,Wilson,fcarter@hotmail.com,001-274-692-1188x2419,Smith-Levine
North America,Mexico,State1,97589 Shannon Valleys,93186,Shirt - Seem,Clothing,Shirt,2024-06-05,2024-06-10,1262.03,433.83,4,Nicole,Gentry,joseph21@hotmail.com,(457)056-8209x225,Graham and Sons
Asia,India,Karnataka,56407 Jason Dale Suite 728,21859,Jacket - Model,Clothing,Jacket,2024-01-01,2024-01-09,485.86,375.98,2,Samantha,Carr,browntodd@hotmail.com,224.731.2616x85071,"Andrews, Hurley and Williams"
Europe,UK,State2,509 Megan Valley,14815,Mobile - Artist,Electronics,Mobile,2024-05-16,2024-05-19,65.68,97.22,1,Tina,Sandoval,ronaldadkins@gmail.com,001-537-092-3007x1695,"May, Mullins and Brown"
Asia,Japan,State1,948 Lyons Forks,85155,Table - Response,Furniture,Table,2024-01-06,2024-01-14,1861.61,318.81,8,Donald,Bradley,kwatkins@gmail.com,(529)447-1619x82734,Krueger LLC
Asia,China,State1,45025 Walker Falls,09508,Shirt - Talk,Clothing,Shirt,2024-07-28,2024-07-31,276.0,32.3,10,Taylor,Phillips,wscott@gmail.com,268-064-8606x73983,Lewis Ltd
Europe,UK,State1,53646 Amber Isle Suite 077,36768,Couch - Series,Furniture,Couch,2024-04-07,2024-04-13,434.62,52.39,10,Janet,Long,michael56@gmail.com,920.908.5510,Galvan-Gordon
Europe,France,State2,11786 Carolyn Spur,03004,Shirt - Minute,Clothing,Shirt,2024-04-30,2024-05-09,521.83,271.4,3,Douglas,Trujillo,sbrown@gmail.com,(069)535-4120,"Johnson, Branch and Garcia"
Europe,UK,State2,02601 Rodriguez Forest Apt. 594,58192,Shirt - Walk,Clothing,Shirt,2024-02-02,2024-02-08,1734.45,479.12,6,Cynthia,Williamson,fcampbell@hubbard.com,(798)059-5031,"Taylor, Kim and Edwards"
North America,USA,California,0391 Joshua Crossroad,04620,Mobile - Anything,Electronics,Mobile,2024-01-04,2024-01-12,1566.73,278.29,9,Natalie,Patterson,joneskevin@hotmail.com,359-928-5535,Roberts-Byrd
Asia,Japan,State2,06799 Dawn Locks,75368,Laptop - Rich,Electronics,Laptop,2024-05-12,2024-05-22,177.63,88.87,3,Roy,Sloan,paynejennifer@baker-osborne.com,842.339.4495x3006,Williams Group
Europe,Germany,Bavaria,0325 Charles Forest Suite 542,51771,Tablet - Military,Electronics,Tablet,2024-06-27,2024-06-29,1624.78,236.02,9,Isaiah,Rodriguez,brandiburton@hotmail.com,001-233-451-1009,Blake-Bradford
Europe,UK,State1,430 Olivia Crescent Apt. 667,29329,Chair - Among,Furniture,Chair,2024-06-12,2024-06-17,1739.19,248.72,10,Laura,Jensen,peggy57@webster-ferrell.net,+1-759-212-9964,"Williams, Sanchez and Walsh"
Asia,Japan,State1,202 Wood Pike Apt. 147,61235,Laptop - Computer,Electronics,Laptop,2024-06-02,2024-06-05,487.35,165.72,4,Pamela,Neal,solomondanny@wilkinson-perez.net,2362192158,Hall and Sons
North America,Mexico,State2,161 Wesley Forest Suite 588,11190,Jacket - Stock,Clothing,Jacket,2024-02-18,2024-02-22,2423.83,287.76,10,Jessica,Gilmore,sjackson@gmail.com,(880)053-7893x1869,"Berry, Burns and Smith"
Europe,Germany,Bavaria,4018 Gary Throughway Suite 200,23783,Chair - Yes,Furniture,Chair,2024-03-01,2024-03-06,721.29,145.57,7,Andrea,Gilbert,derekdougherty@king.com,432.811.6599x3020,"Kerr, Mendoza and Jackson"
North America,Mexico,State2,22775 Heather Cove,32443,Table - Care,Furniture,Table,2024-01-15,2024-01-24,1744.24,389.64,6,Nathan,Lee,butlerolivia@king-gonzalez.com,(937)775-6919x832,"Clark, Williams and Giles"
Asia,India,Karnataka,174 Grimes Canyon Apt. 983,16142,Shirt - Special,Clothing,Shirt,2024-01-28,2024-02-03,883.11,446.74,3,Sherry,Johnson,carl66@hernandez.com,670-805-6856,"Johnson, Martin and George"
North America,Mexico,State1,3621 Cox Circle,40241,Shirt - Thought,Clothing,Shirt,2024-06-01,2024-06-03,2426.33,319.5,9,Bianca,Maxwell,diana76@yahoo.com,493.396.5049,Finley-Wiley
North America,Canada,State1,61142 Robinson Loop Apt. 585,35438,Tablet - However,Electronics,Tablet,2024-03-05,2024-03-11,3072.34,448.05,9,Emily,Garcia,mavery@williamson.com,+1-341-996-4338x5324,Lopez-Bradford
North America,USA,Texas,8333 Avery Via,05053,Chair - Your,Furniture,Chair,2024-06-28,2024-07-04,537.05,237.7,3,Lisa,Allen,melinda87@johnson-baird.com,(769)475-7694x535,Small Ltd
Europe,France,State1,6986 Ryan Harbors Apt. 125,37928,Shirt - Education,Clothing,Shirt,2024-06-18,2024-06-22,459.28,78.78,9,Mitchell,Nichols,sara94@miller.org,(559)664-7213,Elliott-Ritter
North America,Mexico,State1,2614 Whitney Greens,85784,Jacket - Add,Clothing,Jacket,2024-06-25,2024-07-04,148.18,29.81,6,Amy,Gonzalez,tvelasquez@mercado-lewis.com,963.731.0081x785,Taylor-Richardson
Asia,India,Maharashtra,871 Flores Fords Suite 426,66756,Chair - Wide,Furniture,Chair,2024-03-05,2024-03-07,883.53,263.76,4,Lauren,Green,rodriguezjames@gmail.com,+1-086-523-7772x9665,Frederick Inc
Europe,France,State2,05278 Angel Land Suite 800,03819,Mobile - Investment,Electronics,Mobile,2024-03-14,2024-03-21,536.8,354.83,2,Samantha,Webb,cameronlopez@bates-dougherty.com,(094)391-3681x72031,Mcdonald Inc
Europe,UK,State2,09297 Maurice Stravenue Suite 953,31254,Jacket - Decade,Clothing,Jacket,2024-05-26,2024-05-30,1640.64,330.3,7,Eddie,Hernandez,hollylee@hotmail.com,+1-920-457-3532x366,"Reed, Fletcher and Holmes"
North America,USA,New York,87082 Lawson Turnpike,16333,Table - Begin,Furniture,Table,2024-07-16,2024-07-21,1588.7,208.86,9,Kathy,Roman,ajohnson@martinez-sanders.com,+1-838-821-7648x4673,Stanton-Harrison
Europe,France,State2,222 Cynthia Throughway,80117,Shirt - Garden,Clothing,Shirt,2024-06-20,2024-06-30,452.68,225.55,3,Kelly,Osborn,jenniferortega@hotmail.com,+1-225-606-2953x5063,Anderson-Clark
North America,Mexico,State2,046 Hill Views,31475,Mobile - These,Electronics,Mobile,2024-07-04,2024-07-08,458.52,187.49,3,Adam,Caldwell,kelsey85@smith.com,626.084.6397,Jones Ltd
Asia,Japan,State1,55491 Sharon Shoals Apt. 516,94922,Table - Realize,Furniture,Table,2024-05-21,2024-05-24,2028.0,340.86,8,Joseph,Jones,ronnie09@hotmail.com,969-395-7875,Brown-Cross
North America,USA,New York,42620 Cindy Run,65529,Chair - Support,Furniture,Chair,2024-03-12,2024-03-17,56.51,72.66,1,Cody,Daniel,kyleeverett@sanchez.org,(789)760-9873x1267,Woods Inc
Asia,Japan,State1,76075 Wong Manor,46692,Shirt - Walk,Clothing,Shirt,2024-07-06,2024-07-08,267.92,136.55,3,John,Walsh,james91@carrillo.net,+1-952-312-0219x15057,Miller PLC
Europe,UK,State1,7000 Robert Points Suite 644,71903,Jacket - Surface,Clothing,Jacket,2024-05-26,2024-06-01,181.62,116.13,2,Elizabeth,Graham,ashley97@yahoo.com,636-560-4500,Kaiser-Hart
Europe,France,State1,96496 Sydney Mill,10865,Laptop - Investment,Electronics,Laptop,2024-04-04,2024-04-08,2696.94,412.02,10,Daniel,Reid,ashleyjames@yahoo.com,059.702.5512,Edwards-Walker
North America,Mexico,State2,15948 Carr Keys Suite 663,39630,Tablet - Newspaper,Electronics,Tablet,2024-03-03,2024-03-10,1500.99,302.3,8,Teresa,Molina,kylescott@gmail.com,916-999-3934x4974,Gutierrez-Clark
Europe,France,State1,30958 Anderson Stream,63026,Mobile - Draw,Electronics,Mobile,2024-04-14,2024-04-19,2915.68,431.2,9,Jennifer,Robinson,wrightdale@gmail.com,001-972-021-7075x48534,Baker-Fox
Europe,Germany,Hamburg,03004 Knight Vista,40397,Mobile - Professor,Electronics,Mobile,2024-06-09,2024-06-18,2623.73,303.91,10,Patrick,Brown,morrowdonald@baxter.com,001-756-589-6359x5708,Rogers-Mcbride
North America,Mexico,State1,45843 Dominguez Locks,51342,Laptop - Yard,Electronics,Laptop,2024-06-16,2024-06-20,1646.49,274.25,10,Jeffrey,Jones,dyerkenneth@gmail.com,622.033.4742,Livingston PLC
North America,Mexico,State2,79686 Antonio Turnpike Suite 294,50495,Jeans - Evidence,Clothing,Jeans,2024-06-06,2024-06-13,256.38,351.84,1,Karen,Chung,lucasteresa@small-brown.com,043.502.3850,Douglas Inc
Europe,France,State2,5233 Abigail Drives,82238,Jacket - Common,Clothing,Jacket,2024-03-03,2024-03-06,393.27,75.6,7,Laura,Smith,markberry@lewis.com,3346771167,"Lynch, Ramirez and Myers"
Asia,India,Maharashtra,955 Rachel Centers Apt. 453,07847,Jacket - His,Clothing,Jacket,2024-01-05,2024-01-13,417.02,102.62,5,Christian,Berger,lisa23@robinson.com,2847190172,Chase-Thomas
Asia,Japan,State1,648 Blair Cove Suite 754,54754,Shirt - Common,Clothing,Shirt,2024-02-21,2024-02-29,964.37,347.01,4,Daniel,Buchanan,brendan58@herrera.com,+1-725-812-2590x95668,Williams-Brooks
Europe,Germany,Bavaria,379 Laura Courts,17539,Couch - Father,Furniture,Couch,2024-04-08,2024-04-14,1559.34,428.94,5,Christopher,Krause,cchurch@terry.net,(901)707-4039x25199,"Hardy, Hernandez and Wright"
Europe,UK,State2,1222 Dougherty Summit,33862,Jeans - Prepare,Clothing,Jeans,2024-04-07,2024-04-12,1506.69,280.53,7,John,Grant,andrewvincent@thomas.com,(549)633-0833x4447,"Kelly, George and Moss"
Asia,China,State2,47020 Austin Lane Suite 195,25334,Table - Understand,Furniture,Table,2024-01-08,2024-01-15,2221.51,370.53,7,Kristin,West,raywalters@gmail.com,(956)342-7775,Shaw-Stone
North America,USA,New York,61658 Donald Rapids,18041,Laptop - Study,Electronics,Laptop,2024-03-07,2024-03-11,165.75,115.08,2,Anthony,Wood,brittanywilson@glass-friedman.biz,029.559.6363,Barr PLC
Europe,UK,State1,66154 Debbie Plaza,45018,Laptop - Major,Electronics,Laptop,2024-02-29,2024-03-02,613.07,413.4,2,Colton,Harris,dianawolf@williams.net,211.221.2154,"Ortiz, Serrano and Sharp"
North America,Canada,State1,764 Dalton Prairie Apt. 854,73412,Laptop - Much,Electronics,Laptop,2024-02-13,2024-02-18,180.54,49.22,6,Amanda,Price,marynunez@gmail.com,(298)778-7358x5664,"Watson, Hernandez and Graham"
Europe,France,State2,42192 Stokes Fall,10344,Jacket - Young,Clothing,Jacket,2024-06-04,2024-06-06,710.63,323.74,3,James,Smith,mitchellcheryl@robinson.info,911.797.2699x99498,"Collins, Mcgee and Larson"
Asia,Japan,State2,66602 Bryan Keys,26283,Mobile - Big,Electronics,Mobile,2024-03-03,2024-03-13,2487.17,352.24,9,Julie,Ryan,glopez@morris.com,(438)380-5826,"Hale, Rodriguez and Dunn"
North America,USA,Texas,8627 Mahoney Walks Apt. 283,66246,Tablet - Thousand,Electronics,Tablet,2024-03-07,2024-03-09,107.64,52.55,3,Chelsea,Cruz,lisarussell@miller.net,001-626-713-6841x01328,"Osborne, Saunders and Brown"
Europe,France,State2,88352 Mclaughlin Stream,08797,Couch - Strong,Furniture,Couch,2024-03-01,2024-03-06,127.97,17.53,9,Allison,Nguyen,ecisneros@cruz-curtis.biz,001-592-088-1431x92797,Mccullough Ltd
Asia,Japan,State2,698 Amber Hills Suite 720,94373,Jacket - It,Clothing,Jacket,2024-02-15,2024-02-22,1975.14,482.01,6,Lynn,Hernandez,zrichardson@hotmail.com,(295)912-5734x9899,Hull-Neal
North America,USA,Texas,074 Beth Rest Apt. 747,19207,Couch - Vote,Furniture,Couch,2024-03-04,2024-03-06,360.03,95.77,5,Kathy,Jenkins,duranaudrey@yahoo.com,080.897.4748x5994,Nguyen-Guzman
North America,USA,New York,67347 Clark Street Apt. 649,70454,Table - Into,Furniture,Table,2024-04-17,2024-04-20,3718.05,478.79,9,Anthony,Roberts,elizabethrobertson@liu-murphy.com,026-270-6648,Mckay and Sons
North America,Canada,State2,458 Kayla Alley Apt. 057,40493,Couch - Play,Furniture,Couch,2024-01-24,2024-02-02,1354.45,381.16,4,Elizabeth,Fernandez,vgreen@tran.com,2750003056,Larsen and Sons
Europe,UK,State2,305 Carter Point Suite 937,71458,Shirt - Soon,Clothing,Shirt,2024-06-05,2024-06-14,194.9,136.33,2,Elizabeth,Merritt,dcole@hotmail.com,001-701-872-6001x36510,Vargas PLC
Asia,Japan,State1,906 Hill Junctions,55805,Table - During,Furniture,Table,2024-04-15,2024-04-22,1986.91,272.47,9,Angelica,Hickman,kevinjohnson@gmail.com,001-215-599-6725x62221,Turner-Novak
Europe,Germany,Berlin,0474 Lester Hollow Suite 559,29708,Laptop - Politics,Electronics,Laptop,2024-01-04,2024-01-11,368.25,281.73,2,Carolyn,Nguyen,amandaedwards@rivas-montes.com,531-290-0362x21173,Young-Frederick
Europe,France,State1,839 Peters Station Suite 852,24217,Jeans - Wind,Clothing,Jeans,2024-02-25,2024-02-29,671.8,254.51,4,Breanna,Torres,jenniferedwards@yahoo.com,857-591-7105,"Booker, Simpson and Coleman"
North America,USA,Texas,7744 Hall Lakes,84207,Mobile - Whom,Electronics,Mobile,2024-01-21,2024-01-26,1186.87,419.8,4,Jason,Barton,urusso@hotmail.com,001-417-159-4973x4493,"Christian, Williams and Parker"
Asia,India,Telangana,31836 Morgan Cliff,90728,Jacket - Although,Clothing,Jacket,2024-05-09,2024-05-18,113.57,13.25,10,James,Petersen,gmayer@hunter-preston.net,527-873-0486,Freeman PLC
Asia,China,State2,5353 Burnett Tunnel Apt. 189,14575,Jeans - Create,Clothing,Jeans,2024-05-02,2024-05-11,3255.73,435.7,10,Michael,Jennings,joshua67@moss.biz,(969)143-3629,"Brown, White and Wallace"
North America,Canada,State2,99990 Daniel Place Suite 739,02724,Tablet - Point,Electronics,Tablet,2024-04-09,2024-04-13,194.54,267.61,1,Amanda,Young,codymiller@hotmail.com,(844)246-4884x99795,Soto-Jordan
North America,USA,New York,9582 Megan Center Apt. 217,98174,Table - Left,Furniture,Table,2024-03-07,2024-03-11,3163.36,488.49,8,Brandy,Simon,kevinfernandez@franklin.info,5984451436,"Bartlett, Watson and Rowe"
Europe,France,State1,303 Walton Vista,70804,Tablet - Model,Electronics,Tablet,2024-03-03,2024-03-08,1439.09,294.69,7,Daniel,Miller,fflowers@landry-rogers.com,9921779055,"Cooley, Hendrix and Garcia"
North America,Canada,State1,58807 Kayla Skyway Suite 326,03119,Jeans - Choose,Clothing,Jeans,2024-06-14,2024-06-19,944.47,240.96,5,Julie,Martinez,smithsusan@martinez.com,+1-551-360-9085x8181,Richards-Walker
Europe,Germany,Berlin,736 Rebecca Square,70091,Chair - And,Furniture,Chair,2024-04-20,2024-04-28,816.21,188.89,6,Tyler,Gray,robynmiller@hotmail.com,(896)933-5390x058,Brown-Taylor
Europe,Germany,Hamburg,315 Hoover Garden Suite 925,45945,Tablet - Fund,Electronics,Tablet,2024-06-16,2024-06-21,611.07,363.2,2,Kristy,Wilson,john90@hotmail.com,(837)727-0289,Richardson LLC
North America,Canada,State2,81644 Lisa Springs Suite 101,82218,Mobile - Know,Electronics,Mobile,2024-05-26,2024-05-30,2114.51,404.78,8,Yvette,Murray,matthewbrennan@hotmail.com,640-510-3880x2730,Smith-Sloan
Europe,Germany,Hamburg,4471 Brittany Underpass,28211,Jacket - Everything,Clothing,Jacket,2024-02-25,2024-03-03,965.54,157.02,8,Sara,Johnston,qsimpson@avila.com,001-228-849-8745,Barnes-Henderson
North America,USA,Texas,727 Shawn Flat Apt. 688,16205,Tablet - Somebody,Electronics,Tablet,2024-05-16,2024-05-20,78.17,115.58,1,Kristina,Todd,harrisstacey@hotmail.com,818.738.7758x33364,Foley and Sons
North America,USA,Texas,090 Sheri Keys,25798,Jeans - Sort,Clothing,Jeans,2024-07-03,2024-07-09,858.78,186.55,6,William,Walsh,lopezdavid@gmail.com,(420)412-3190x577,Smith-King
Europe,France,State1,794 Annette Estate,35985,Chair - Center,Furniture,Chair,2024-01-03,2024-01-10,830.65,107.49,10,Nathan,Norman,howelljennifer@garcia-walters.com,(487)098-7264,Chang-Jones
North America,Mexico,State1,4224 Joseph Square,85132,Table - Tree,Furniture,Table,2024-06-07,2024-06-14,1838.81,248.87,9,Emily,Jackson,fergusonchristy@lee.net,(163)070-2867x20200,White LLC
Asia,China,State2,95368 Alejandro Mountain,62864,Couch - Phone,Furniture,Couch,2024-05-10,2024-05-14,853.65,323.88,3,Cassidy,Johnson,vsanchez@sheppard.org,130.722.1138x690,Myers Group
Europe,UK,State2,21045 Paul Turnpike Apt. 719,22414,Mobile - Six,Electronics,Mobile,2024-07-16,2024-07-20,508.08,121.83,6,Amy,Haney,dflowers@torres-russell.com,442.252.1602,Wilkerson-Rios
Europe,UK,State2,09447 Ware Lane,81375,Jacket - Guess,Clothing,Jacket,2024-03-11,2024-03-19,1856.18,444.97,5,Andrew,Craig,leslie32@yahoo.com,(179)480-2455x98516,Pruitt LLC
Europe,UK,State2,8912 Fernandez Lodge,99781,Chair - Although,Furniture,Chair,2024-02-21,2024-02-25,47.78,71.27,1,Jacqueline,Oconnor,timothy68@hotmail.com,(237)600-8844x74083,Rodriguez Ltd
Europe,UK,State1,64006 Phillip Stream,82463,Mobile - Left,Electronics,Mobile,2024-02-04,2024-02-12,100.12,56.82,2,David,Gonzalez,joshuaadams@yahoo.com,708-213-9865x462,"Rodriguez, Johnson and Carter"
Europe,UK,State1,720 Orr Alley,27781,Laptop - Choose,Electronics,Laptop,2024-01-04,2024-01-14,95.7,60.92,2,Kathleen,Smith,dunnnicholas@manning-mcknight.info,919.008.8991,Jones and Sons
Asia,Japan,State2,169 Lori Dam,90352,Chair - Campaign,Furniture,Chair,2024-04-07,2024-04-12,724.52,227.15,5,Troy,Peck,priceamber@hotmail.com,481-867-4630x00998,Sullivan Inc
North America,USA,California,1181 Davis Rapids,73284,Tablet - Factor,Electronics,Tablet,2024-03-26,2024-04-02,1925.06,433.48,6,Debbie,Benson,katherinemccarty@yahoo.com,(034)015-3534,Hamilton Inc
North America,Canada,State2,9466 Hernandez Center Apt. 082,35496,Tablet - Itself,Electronics,Tablet,2024-06-08,2024-06-18,662.18,299.51,3,Nicole,Le,barkeredwin@delgado.info,+1-402-620-8581x745,Griffin Group
North America,Mexico,State2,4235 Smith Hill,11929,Jacket - West,Clothing,Jacket,2024-02-22,2024-03-03,1695.1,455.37,5,Erik,Davis,daniel16@fuller.com,(904)610-0792x304,Perez-Durham
Asia,India,Maharashtra,271 Christopher Summit,23540,Table - Last,Furniture,Table,2024-06-07,2024-06-15,260.27,86.3,5,James,Strong,belldavid@hotmail.com,850-766-5344x604,Brown and Sons
North America,USA,Texas,460 Christy Isle,31512,Table - Real,Furniture,Table,2024-03-10,2024-03-20,259.42,347.01,1,Adam,Porter,travis24@bailey.com,682.251.2726x7086,Good Group
Europe,France,State1,24197 Phelps Mills Suite 947,61722,Table - Throw,Furniture,Table,2024-06-11,2024-06-16,182.93,278.62,1,Maria,Bates,michaeljohnson@drake.net,001-742-235-4340,"Lamb, Donovan and Frederick"
North America,Canada,State2,56495 Michael Ports,23054,Mobile - Food,Electronics,Mobile,2024-06-11,2024-06-19,515.62,118.09,7,Andre,Ross,dawn11@gmail.com,+1-973-881-8273x06343,"Molina, Kelley and Meza"
North America,USA,New York,849 Herrera Lodge,53605,Jacket - Green,Clothing,Jacket,2024-04-21,2024-04-27,1244.73,327.74,5,Jordan,Schroeder,velasquezvictoria@gmail.com,254-341-2301,"Baxter, Shaw and White"
Europe,France,State1,37218 Brown Centers Apt. 203,14268,Mobile - Section,Electronics,Mobile,2024-06-04,2024-06-08,235.97,64.07,5,Brooke,Pierce,davisjoshua@clark.com,171.978.6016,Collins Ltd
Europe,France,State2,841 Bruce Roads,61666,Laptop - Usually,Electronics,Laptop,2024-03-01,2024-03-03,78.3,34.32,3,Lori,Murphy,fullerchase@yahoo.com,358-210-7288x78072,Sutton-Jensen
Asia,India,Maharashtra,60881 Daugherty Drives Apt. 399,83566,Chair - State,Furniture,Chair,2024-06-30,2024-07-09,80.06,124.08,1,Vanessa,King,nicholstodd@gmail.com,7681024808,"Hodges, Espinoza and Mcdonald"
Europe,Germany,Berlin,44323 Maynard Estates,16431,Table - Hit,Furniture,Table,2024-05-16,2024-05-25,1191.88,237.21,6,Peter,Johnson,darnold@yahoo.com,(706)751-6913x9521,Camacho-Mason
Europe,Germany,Bavaria,1070 James Cape,85537,Laptop - Fund,Electronics,Laptop,2024-01-22,2024-01-30,361.48,276.16,2,Alexandra,Scott,melinda19@glenn.com,130.041.6910x53021,"Wilson, Russell and Evans"
Europe,France,State1,463 Elizabeth Ridges Suite 348,12391,Tablet - Home,Electronics,Tablet,2024-01-28,2024-02-02,1990.01,387.9,7,Clarence,Nguyen,rhonda64@henry.biz,573-855-1281,Alvarez-Diaz
North America,USA,California,597 Matthew Green,20786,Couch - Western,Furniture,Couch,2024-06-23,2024-06-26,2005.53,336.34,9,Nicholas,Mcmillan,umartin@smith-phillips.com,(546)772-0517x10730,Rivera-Garcia
Europe,UK,State2,783 Beck Circle Apt. 175,40726,Chair - The,Furniture,Chair,2024-07-13,2024-07-15,1613.77,265.25,9,Tiffany,Moreno,ephillips@gordon-nguyen.info,+1-260-292-5468x62728,Martinez-Cruz
North America,Canada,State1,07632 Dougherty Wall Apt. 538,53046,Chair - Name,Furniture,Chair,2024-04-26,2024-05-01,183.47,125.62,2,Thomas,Holt,jefferyrice@hotmail.com,790.604.8869x32055,West Group
Asia,India,Maharashtra,3961 Carlson Mission,56739,Shirt - Star,Clothing,Shirt,2024-04-01,2024-04-09,35.24,14.38,4,Stephanie,Frank,erinrojas@yahoo.com,078.977.5542x619,Smith-Kramer
North America,Canada,State1,27362 Chandler Falls Apt. 222,63696,Chair - Sea,Furniture,Chair,2024-01-11,2024-01-16,616.33,254.96,3,Dakota,Juarez,denise76@hotmail.com,716-204-2985,Guerra PLC
Europe,UK,State1,52169 Jared Walks,23985,Laptop - Build,Electronics,Laptop,2024-04-22,2024-04-26,2283.38,397.82,9,Jacob,Roach,davistiffany@yahoo.com,(647)106-8017,Hood-Powell
Asia,China,State2,70500 Aguilar Fords Apt. 672,33767,Couch - Majority,Furniture,Couch,2024-01-08,2024-01-13,246.0,347.73,1,Sabrina,Bennett,royscott@ramirez.net,8390654025,Drake Inc
Asia,China,State1,72728 Ernest Ports,15950,Couch - Power,Furniture,Couch,2024-05-06,2024-05-15,1124.41,154.41,9,Lynn,Walker,theresa96@martinez.biz,652.728.4539x749,Hale and Sons
Asia,Japan,State1,0675 Mathis Brooks Apt. 080,87677,Jeans - Smile,Clothing,Jeans,2024-05-25,2024-06-01,984.7,144.91,8,Jennifer,Garcia,martinkelsey@frank-blackburn.com,+1-044-890-9322x533,Chavez Inc
North America,USA,California,02555 Daniel Stream Apt. 545,94599,Shirt - Design,Clothing,Shirt,2024-03-08,2024-03-17,1568.88,411.52,5,Felicia,Johnson,heather39@gmail.com,001-332-436-2962x08059,Bernard and Sons
Europe,Germany,Hamburg,1290 Deleon Terrace Suite 599,81082,Jeans - Skin,Clothing,Jeans,2024-07-28,2024-08-01,222.46,313.67,1,Dennis,Brown,tammymorales@castillo.org,(421)062-9419x375,"Hall, Martinez and Church"
North America,USA,Texas,75362 Wyatt Harbor,62557,Shirt - Prevent,Clothing,Shirt,2024-02-07,2024-02-17,580.61,103.04,7,Lucas,Contreras,patrick20@hotmail.com,(173)009-9284x52403,"Anderson, Foster and Jones"
North America,USA,New York,0514 Jennifer Dam Apt. 914,31665,Table - Compare,Furniture,Table,2024-02-11,2024-02-19,291.26,64.13,6,Elizabeth,Williams,dlowery@hotmail.com,(479)254-2218,Gomez and Sons
Asia,India,Telangana,204 Vasquez Meadows,65081,Mobile - Offer,Electronics,Mobile,2024-04-01,2024-04-06,312.08,247.83,2,Cynthia,Gallegos,nicoletodd@lawrence.com,+1-025-784-6408x585,"Cardenas, Fuller and Leonard"
North America,Mexico,State2,672 Kramer Brook Suite 672,86806,Jeans - Simple,Clothing,Jeans,2024-07-23,2024-08-02,2393.37,353.64,10,Breanna,Jackson,michellewalsh@yahoo.com,001-519-628-2225x0182,"Lee, Rodgers and Jackson"
Europe,Germany,Hamburg,86394 Debbie Course Apt. 234,11929,Shirt - Head,Clothing,Shirt,2024-06-06,2024-06-08,1164.29,331.32,4,Karl,Berry,jacobsdiana@jackson-steele.com,(660)450-9563,Sherman LLC
Asia,China,State1,391 Jo Corner,75857,Couch - Crime,Furniture,Couch,2024-01-26,2024-02-03,1478.94,399.18,6,Jeffrey,Wood,dennisevans@davis-herring.com,(006)082-7705x6461,Huff-Holland
North America,Canada,State1,4385 Alexis Islands,30420,Shirt - Wind,Clothing,Shirt,2024-06-11,2024-06-17,839.97,472.86,2,Steven,Gonzalez,wallaceronald@gmail.com,133.610.9441,Wells Group
Asia,India,Karnataka,5441 Steve Mountain,62087,Tablet - Learn,Electronics,Tablet,2024-04-26,2024-05-04,333.59,104.63,4,Donna,Price,wtapia@gmail.com,(349)429-0461x75518,Mcmillan Ltd
